unit #,station #,lat,lon,p_min,p_max
1,1,31.850518,34.664132,0,125
2,1,31.850518,34.664132,0,125
3,1,31.850518,34.664132,0,125
4,1,31.850518,34.664132,0,125
5,1,31.850518,34.664132,0,125
6,1,31.850518,34.664132,0,125
7,1,31.850518,34.664132,0,125
8,1,31.850518,34.664132,0,125
9,1,31.850518,34.664132,0,125
10,1,31.850518,34.664132,0,125
11,1,31.850518,34.664132,0,125
12,1,31.850518,34.664132,0,125
13,1,31.850518,34.664132,0,125
14,1,31.850518,34.664132,0,125
15,1,31.850518,34.664132,0,125
16,2,31.807118,34.824611,0,125
17,2,31.807118,34.824611,0,125
18,2,31.807118,34.824611,0,125
19,2,31.807118,34.824611,0,125
20,2,31.807118,34.824611,0,125
21,2,31.807118,34.824611,0,125
22,2,31.807118,34.824611,0,125
23,2,31.807118,34.824611,0,125
24,2,31.807118,34.824611,0,125
25,2,31.807118,34.824611,0,125
26,2,31.807118,34.824611,0,125
27,2,31.807118,34.824611,0,125
28,3,31.591095,34.750985,0,125
29,3,31.591095,34.750985,0,125
30,3,31.591095,34.750985,0,125
31,3,31.591095,34.750985,0,125
32,3,31.591095,34.750985,0,125
33,4,31.64142,34.527968,0,125
34,4,31.64142,34.527968,0,125
35,4,31.64142,34.527968,0,125
36,4,31.64142,34.527968,0,125
37,4,31.64142,34.527968,0,125
38,4,31.64142,34.527968,0,125
39,4,31.64142,34.527968,0,125
40,4,31.64142,34.527968,0,125
41,5,31.135307,34.793188,0,125
42,5,31.135307,34.793188,0,125
43,5,31.135307,34.793188,0,125
44,5,31.135307,34.793188,0,125
45,5,31.135307,34.793188,0,125
46,5,31.135307,34.793188,0,125
47,5,31.135307,34.793188,0,125
48,5,31.135307,34.793188,0,125
49,5,31.135307,34.793188,0,125
50,5,31.135307,34.793188,0,125
51,5,31.135307,34.793188,0,125
52,6,31.043186,35.366209,0,125
53,6,31.043186,35.366209,0,125
54,6,31.043186,35.366209,0,125
55,6,31.043186,35.366209,0,125
56,6,31.043186,35.366209,0,125
57,9,32.621916,35.050104,0,125
58,9,32.621916,35.050104,0,125
59,9,32.621916,35.050104,0,125
60,9,32.621916,35.050104,0,125
61,9,32.621916,35.050104,0,125
62,9,32.621916,35.050104,0,125
63,9,32.621916,35.050104,0,125
64,9,32.621916,35.050104,0,125
65,9,32.621916,35.050104,0,125
66,9,32.621916,35.050104,0,125
67,9,32.621916,35.050104,0,125
68,9,32.621916,35.050104,0,125
69,9,32.621916,35.050104,0,125
70,10,32.81464,35.024023,0,125
71,10,32.81464,35.024023,0,125
72,10,32.81464,35.024023,0,125
73,10,32.81464,35.024023,0,125
74,10,32.81464,35.024023,0,125
75,10,32.81464,35.024023,0,125
76,10,32.81464,35.024023,0,125
77,10,32.81464,35.024023,0,125
78,11,32.648552,35.356444,0,125
79,11,32.648552,35.356444,0,125
80,11,32.648552,35.356444,0,125
81,11,32.648552,35.356444,0,125
82,11,32.648552,35.356444,0,125
83,11,32.648552,35.356444,0,125
